number,district_sector,latitude,longitude,month,summarized_offense_description,zone_beat,violence_offense_description
929,M,47.608787537,-122.338447571,3,Theft,M1,other
930,M,47.608787537,-122.338447571,3,Theft,M1,other
931,M,47.608787537,-122.338447571,3,Theft,M1,other
932,M,47.608787537,-122.338447571,3,Theft,M1,other
933,M,47.608787537,-122.338447571,3,Theft,M1,other
934,E,47.612987518,-122.323944092,3,Theft,E3,other
935,E,47.612987518,-122.323944092,3,Theft,E3,other
936,Q,47.622062683,-122.344985962,3,Property,Q3,other
937,Q,47.622062683,-122.344985962,3,Property,Q3,other
938,L,47.696678162,-122.308135986,3,Fraud,L2,other
939,L,47.696678162,-122.308135986,3,Fraud,L2,other
940,C,47.62191391,-122.293159485,3,Fraud,C3,other
941,C,47.62191391,-122.293159485,3,Fraud,C3,other
942,M,47.612102509,-122.333808899,3,Theft,M2,other
943,E,47.614654541,-122.320793152,3,Violence,E2,violence
944,E,47.614654541,-122.320793152,3,Violence,E2,violence
945,E,47.614654541,-122.320793152,3,Violence,E2,violence
946,E,47.614654541,-122.320793152,3,Violence,E2,violence
947,F,47.523994446,-122.360481262,3,Court Violation,F2,other
948,F,47.523994446,-122.360481262,3,Court Violation,F2,other
949,K,47.602767944,-122.33140564,3,Property,K1,other
950,K,47.602767944,-122.33140564,3,Property,K1,other
951,K,47.602767944,-122.33140564,3,Property,K1,other
952,K,47.602767944,-122.33140564,3,Property,K1,other
953,D,47.61807251,-122.348503113,3,Public Offense,D1,other
954,J,47.688388824,-122.347213745,3,Theft,J3,other
955,J,47.688388824,-122.347213745,3,Theft,J3,other
956,D,47.616054535,-122.336166382,3,Theft,D2,other
957,D,47.616054535,-122.336166382,3,Theft,D2,other
958,D,47.616054535,-122.336166382,3,Theft,D2,other
959,D,47.616054535,-122.336166382,3,Theft,D2,other
960,J,47.677806854,-122.37247467,3,Theft,J2,other
961,J,47.677806854,-122.37247467,3,Theft,J2,other
962,K,47.596656799,-122.327682495,3,Violence,K3,violence
963,F,47.522636414,-122.314971924,3,Property,F3,other
964,F,47.522636414,-122.314971924,3,Property,F3,other
965,F,47.522636414,-122.314971924,3,Property,F3,other
966,F,47.522636414,-122.314971924,3,Property,F3,other
967,D,47.617797852,-122.343086243,3,Court Violation,D2,other
968,L,47.714836121,-122.307159424,3,Property,L1,other
969,L,47.714836121,-122.307159424,3,Property,L1,other
970,W,47.525814056,-122.391571045,3,Public Offense,W3,other
971,W,47.525814056,-122.391571045,3,Public Offense,W3,other
972,S,47.538913727,-122.293754578,3,Theft,S1,other
973,U,47.678501129,-122.298469543,3,Theft,U3,other
974,U,47.678501129,-122.298469543,3,Theft,U3,other
975,G,47.599201202,-122.315681458,3,Public Offense,G3,other
976,G,47.599201202,-122.315681458,3,Public Offense,G3,other
977,B,47.672080994,-122.334037781,3,Theft,B3,other
978,S,47.512516022,-122.257041931,3,Property,S3,other
979,S,47.512516022,-122.257041931,3,Property,S3,other
980,K,47.602413177,-122.331085205,3,Public Offense,K2,other
981,K,47.602413177,-122.331085205,3,Public Offense,K2,other
982,K,47.602413177,-122.331085205,3,Public Offense,K2,other
983,K,47.602413177,-122.331085205,3,Public Offense,K2,other
984,F,47.521949768,-122.357803345,3,Property,F2,other
985,F,47.521949768,-122.357803345,3,Property,F2,other
986,D,47.617023468,-122.345741272,3,Public Offense,D2,other
987,D,47.617023468,-122.345741272,3,Public Offense,D2,other
988,M,47.609653473,-122.333099365,3,Theft,M3,other
989,M,47.609653473,-122.333099365,3,Theft,M3,other
990,M,47.609653473,-122.333099365,3,Theft,M3,other
991,M,47.609653473,-122.333099365,3,Theft,M3,other
992,O,47.572704315,-122.339691162,3,Theft,O1,other
993,O,47.572704315,-122.339691162,3,Theft,O1,other
994,D,47.637508392,-122.32711792,3,Property,D3,other
995,D,47.637508392,-122.32711792,3,Property,D3,other
996,R,47.576358795,-122.296630859,3,Public Offense,R2,other
997,R,47.576358795,-122.296630859,3,Public Offense,R2,other
998,E,47.608657837,-122.320755005,3,Violence,E3,violence
999,E,47.608657837,-122.320755005,3,Violence,E3,violence
